dataset,model,axe_eval,shap,lime,vnla,sg,itg,ig,random_error,random,coeffs,wts_time_feats,ranked_columns,id
german,lr,1NN,0.8778333333333334,0.8836666666666666,0.8836666666666667,0.8836666666666667,0.8689583333333334,0.8836666666666667,0.8340416666666666,0.844375,0.8836666666666667,0.8689583333333334,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",1NN
german,lr,3NN,0.8879166666666667,0.8908333333333334,0.892375,0.892375,0.8891249999999999,0.892375,0.8673333333333333,0.8697083333333333,0.892375,0.8891249999999999,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",3NN
german,lr,5NN,0.8807083333333333,0.8914166666666666,0.8924166666666667,0.8924166666666667,0.8820833333333333,0.8924166666666667,0.8710416666666666,0.8661249999999999,0.8924166666666667,0.8820833333333333,"['ig', 'sg', 'vnla', 'lime', 'itg', 'shap', 'random']",5NN
german,lr,9NN,0.8669166666666666,0.8835416666666666,0.8833749999999999,0.8833749999999999,0.8686666666666666,0.8833749999999999,0.8629166666666667,0.864625,0.8833749999999999,0.8686666666666666,"['lime', 'ig', 'sg', 'vnla', 'itg', 'shap', 'random']",9NN
german,lr,15NN,0.8617083333333333,0.8746666666666666,0.8745833333333334,0.8745833333333334,0.8608749999999998,0.8745833333333334,0.8613333333333333,0.8614999999999999,0.8745833333333334,0.8608749999999998,"['lime', 'ig', 'sg', 'vnla', 'shap', 'random', 'itg']",15NN
german,lr,31NN,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,"['ig', 'itg', 'sg', 'vnla', 'lime', 'shap', 'random']",31NN
german,lr,65NN,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,0.8603333333333333,"['ig', 'itg', 'sg', 'vnla', 'lime', 'shap', 'random']",65NN
german,ann,1NN,0.9298333333333331,0.9332499999999998,0.9330833333333332,0.9328333333333333,0.9318333333333333,0.9325,0.8997083333333332,0.9115833333333332,,,"['lime', 'vnla', 'sg', 'ig', 'itg', 'shap', 'random']",1NN
german,ann,3NN,0.9295416666666666,0.931375,0.9317083333333332,0.9317083333333332,0.9292083333333333,0.9302916666666666,0.9255416666666666,0.9259999999999998,,,"['sg', 'vnla', 'lime', 'ig', 'shap', 'itg', 'random']",3NN
german,ann,5NN,0.9287499999999999,0.9287499999999999,0.9286666666666664,0.9285833333333332,0.9284999999999998,0.9285833333333332,0.9274166666666666,0.9273333333333332,,,"['lime', 'shap', 'vnla', 'ig', 'sg', 'itg', 'random']",5NN
german,ann,9NN,0.9280833333333331,0.9288333333333332,0.9282499999999999,0.9281666666666665,0.9279999999999998,0.9282499999999999,0.9279166666666665,0.9279999999999998,,,"['lime', 'ig', 'vnla', 'sg', 'shap', 'itg', 'random']",9NN
german,ann,15NN,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,,,"['ig', 'itg', 'sg', 'vnla', 'lime', 'shap', 'random']",15NN
german,ann,31NN,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,,,"['ig', 'itg', 'sg', 'vnla', 'lime', 'shap', 'random']",31NN
german,ann,65NN,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,0.9279999999999998,,,"['ig', 'itg', 'sg', 'vnla', 'lime', 'shap', 'random']",65NN
heloc,lr,1NN,0.7883544303797468,0.7860319207484866,0.7822344523940562,0.7822344523940562,0.7872647220693452,0.7822344523940562,0.737094111172262,0.7360814529444138,0.7822344523940562,0.7872647220693452,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",1NN
heloc,lr,3NN,0.8071436433681896,0.7992405063291139,0.7956521739130434,0.7956521739130434,0.8054045129334068,0.7956521739130434,0.7532195927352779,0.7542762795817282,0.7956521739130434,0.8054045129334068,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",3NN
heloc,lr,5NN,0.8116235553109522,0.7987892129884425,0.7940891579526693,0.7940891579526693,0.8101816180517336,0.7940891579526693,0.7668904788112273,0.7638414969730327,0.7940891579526693,0.8101816180517336,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",5NN
heloc,lr,9NN,0.8164226747385801,0.8107870115575125,0.8068904788112272,0.8068904788112272,0.8161915244909191,0.8068904788112272,0.7781948266373142,0.7690258668134289,0.8068904788112272,0.8161915244909191,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",9NN
heloc,lr,15NN,0.8154430379746836,0.8108090258668135,0.8070996147495872,0.8070996147495872,0.8147495872317008,0.8070996147495872,0.7795266923500277,0.771304347826087,0.8070996147495872,0.8147495872317008,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",15NN
heloc,lr,31NN,0.8152008805723722,0.81031370390754,0.8059878921298845,0.8059878921298845,0.8154650522839848,0.8059878921298845,0.7692790313703909,0.7695432030820035,0.8059878921298845,0.8154650522839848,"['itg', 'shap', 'lime', 'ig', 'sg', 'vnla', 'random']",31NN
heloc,lr,65NN,0.8126472206934507,0.804567969179967,0.8009466152999448,0.8009466152999448,0.8124821133736931,0.8009466152999448,0.7683434232250964,0.7685525591634563,0.8009466152999448,0.8124821133736931,"['shap', 'itg', 'lime', 'ig', 'sg', 'vnla', 'random']",65NN
heloc,ann,1NN,0.7542542652724271,0.7663511282333518,0.7658337919647771,0.7666813428728674,0.7624545954870666,0.777413318657127,0.724149697303247,0.7219042377545403,,,"['ig', 'sg', 'lime', 'vnla', 'itg', 'shap', 'random']",1NN
