openxai_eval,dataset,model,shap,random,lime,vnla,sg,itg,ig,ground_truth,ranked_columns,id
SRA,compas,lr,0.22100250626566414,0.039514170040485824,0.6109408135723925,0.2666666666666666,0.2666666666666666,0.22069211490264118,0.5818392134181608,legacy,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",SRA_legacy
PRA,compas,lr,0.4991875292627172,0.3583959899749374,0.7005976479660689,0.7142857142857142,0.7142857142857142,0.4929080944118538,0.7142857142857142,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",PRA_legacy
PGI,compas,ann,0.12945972383022308,0.14823518693447113,0.13920092582702637,0.07185224443674088,0.07193303853273392,0.13882191479206085,0.1445591151714325,legacy,"['random', 'ig', 'lime', 'itg', 'shap', 'sg', 'vnla']",PGI_legacy
PGU,compas,ann,0.1931617110967636,0.14791998267173767,0.20374298095703125,0.17947085201740265,0.17969411611557007,0.19424687325954437,0.19923464953899384,legacy,"['random', 'vnla', 'sg', 'shap', 'itg', 'ig', 'lime']",PGU_legacy
FA,adult,lr,0.4560622646194785,0.3551685535765138,0.7154132177017748,0.7686495925301896,0.7686495925301896,0.4227224087257255,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",FA_legacy
PGI,adult,lr,0.21776431798934937,0.23063772916793823,0.10725761950016022,0.060497645288705826,0.06041505187749863,0.21211469173431396,0.2674092650413513,legacy,"['ig', 'random', 'shap', 'itg', 'lime', 'vnla', 'sg']",PGI_legacy
PGU,adult,lr,0.23258936405181885,0.20539531111717224,0.31404292583465576,0.32182741165161133,0.3220081329345703,0.2393214851617813,0.14670483767986298,legacy,"['ig', 'random', 'shap', 'itg', 'lime', 'vnla', 'sg']",PGU_legacy
SA,adult,lr,0.12453673714038556,0.27291385108963884,0.7129279147852945,0.5949055919205173,0.5949055919205173,0.09176210191135564,0.19067057873028023,legacy,"['lime', 'sg', 'vnla', 'random', 'ig', 'shap', 'itg']",SA_legacy
RA,adult,lr,0.0827486744568005,0.06043759814904093,0.6063101298922193,0.7673610634804665,0.7673610634804665,0.05979877256825847,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'random', 'itg']",RA_legacy
RC,adult,lr,0.29206040801907623,-0.000860261480238518,0.7082232306112906,0.7690036714146931,0.7690036714146931,0.21620458214272706,0.7692307692307692,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",RC_legacy
SRA,adult,lr,0.01285095593553305,0.047385673720665426,0.6055140216334245,0.5942195781001751,0.5942195781001751,0.007759402319932999,0.19067057873028023,legacy,"['lime', 'sg', 'vnla', 'ig', 'random', 'shap', 'itg']",SRA_legacy
PRA,adult,lr,0.505105417466688,0.3843700629004877,0.7021314640908977,0.7688775059613178,0.7688775059613178,0.4460036002324559,0.7692307692307693,legacy,"['ig', 'sg', 'vnla', 'lime', 'shap', 'itg', 'random']",PRA_legacy
PGI,adult,ann,0.2139822393655777,0.22091194987297058,0.12632349133491516,0.08542659878730774,0.08526434749364853,0.21621215343475342,0.24562707543373108,legacy,"['ig', 'random', 'itg', 'shap', 'lime', 'vnla', 'sg']",PGI_legacy
PGU,adult,ann,0.22606511414051056,0.20058202743530273,0.2735956311225891,0.28902873396873474,0.28926339745521545,0.2122192084789276,0.1447768211364746,legacy,"['ig', 'random', 'itg', 'shap', 'lime', 'vnla', 'sg']",PGU_legacy
